prompt,accuracy,f1
"Classifique o sentimento do texto que se segue como ""positivo"" ou ""negativo"", analisando as emoções, opiniões e contextos que ele revela.",0.54,0.684931506849315
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", avaliando cuidadosamente as emoções, opiniões e contextos que ele transmite.",0.52,0.6756756756756757
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", levando em consideração as emoções e opiniões expressas.",0.52,0.6712328767123288
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", examinando as emoções, opiniões e contextos que se manifestam.",0.51,0.6711409395973155
"Analise o texto a seguir e classifique o sentimento como ""positivo"" ou ""negativo"", considerando as emoções, opiniões e contextos apresentados.",0.5,0.6666666666666666
"Classifique o sentimento do texto abaixo como ""positivo"" ou ""negativo"", levando em conta as emoções, opiniões e contextos que ele transmite.",0.5,0.6666666666666666
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", levando em consideração as emoções, opiniões e o contexto geral que ele expressa.",0.5,0.6621621621621622
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.52,0.6619718309859155
"Classifique o sentimento expresso no texto abaixo como ""positivo"" ou ""negativo"".",0.52,0.6619718309859155
"Avalie o sentimento do texto a seguir e classifique-o como ""positivo"" ou ""negativo"", considerando as emoções, opiniões e o contexto que ele expressa.",0.5,0.647887323943662
"Classifique o tom geral desta análise de filme como sendo 'positivo', 'negativo' ou 'neutro'.",0.42,0.5735294117647058
Avalie o sentimento geral da opinião apresentada e indique se é positiva ou negativa.,0.39,0.5343511450381679
"Avalie o sentimento desta crítica de filme e classifique-a como 'positiva', 'negativa' ou 'neutra'.",0.23,0.3418803418803419
Determine a polaridade da crítica do filme: a opinião expressa é positiva ou negativa?,0.29,0.297029702970297
Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.19,0.24299065420560748
Determine se a opinião expressa na crítica a seguir reflete um sentimento positivo ou negativo sobre o filme.,0.2,0.2
Analise o texto da crítica e determine se ela transmite um sentimento de aprovação ou desaprovação.,0.14,0.14
Interprete o sentimento desta crítica e indique se o autor está elogiando ou criticando o filme.,0.13,0.06451612903225806
Decida se a crítica abaixo expressa uma visão favorável ou desfavorável do filme.,0.06,0.04081632653061224
"Classifique o sentimento do texto abaixo como ""positivo"" ou ""negativo"", considerando as emoções, opiniões e o contexto apresentado.",0.51,0.6666666666666666
