prompt,accuracy,f1,num_tokens
"Classifique o sentimento do texto abaixo como ""positivo"" ou ""negativo"" e forneça uma breve justificativa para sua escolha.",0.54,0.684931506849315,23
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"" e forneça uma explicação sucinta que justifique sua classificação.",0.54,0.676056338028169,25
"Classifique o sentimento do texto abaixo como ""positivo"" ou ""negativo"", explicando brevemente sua escolha.",0.52,0.6756756756756757,20
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"", justificando sua resposta com uma breve explicação.",0.55,0.6715328467153284,24
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"".",0.54,0.6714285714285714,16
"Analise o seguinte texto e identifique o sentimento expresso, classificando como ""positivo"" ou ""negativo"".",0.51,0.6711409395973155,20
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"" e explique sua resposta com uma justificativa concisa.",0.54,0.6666666666666666,24
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"" e ofereça uma justificativa breve para sua decisão.",0.53,0.6666666666666666,24
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"" e apresente uma justificativa clara para sua decisão.",0.51,0.6666666666666666,24
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"" e inclua uma breve justificativa que explique sua decisão.",0.5,0.6575342465753424,25
"Classifique o tom geral desta análise de filme como sendo 'positivo', 'negativo' ou 'neutro'.",0.51,0.6474820143884892,19
Avalie o sentimento geral da opinião apresentada e indique se é positiva ou negativa.,0.45,0.5736434108527132,15
Determine a polaridade da crítica do filme: a opinião expressa é positiva ou negativa?,0.35,0.36893203883495146,16
"Avalie o sentimento desta crítica de filme e classifique-a como 'positiva', 'negativa' ou 'neutra'.",0.27,0.35398230088495575,19
Determine se a crítica expressa uma avaliação favorável ou desfavorável.,0.14,0.2037037037037037,11
Analise o texto da crítica e determine se ela transmite um sentimento de aprovação ou desaprovação.,0.15,0.17475728155339806,17
Determine se a opinião expressa na crítica a seguir reflete um sentimento positivo ou negativo sobre o filme.,0.17,0.12631578947368421,19
Interprete o sentimento desta crítica e indique se o autor está elogiando ou criticando o filme.,0.15,0.12371134020618557,17
Decida se a crítica abaixo expressa uma visão favorável ou desfavorável do filme.,0.06,0.0784313725490196,14
"Classifique o sentimento do texto a seguir como ""positivo"" ou ""negativo"" e elabore uma justificativa concisa para sua decisão.",0.61,0.7111111111111111,24
